sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"26/03/2024","8400/000 : FNB","24011344084000047613508","Account Payment","34.12 WWW.MAKE.COM 4910505191 24 MAR 24011344084000047613508","664.35",,"337737.71"
,"26/03/2024","8400/000 : FNB","74609054084000001043062","Account Payment","30.00 HASURA 4910505191 23 MAR 74609054084000001043062","584.12",,"338321.83"
,"27/03/2024","8400/000 : FNB","24492164086000003096399","Account Payment","150.00 AUTH0.COM 4910505191 25 MAR 24492164086000003096399","2913.56",,"341235.39"
,"27/03/2024","8400/000 : FNB","74143614086000061800940","Account Payment","345.00 FACEBK 3AZU 4910505191 25 MAR 74143614086000061800940","345",,"341580.39"
,"28/03/2024","8400/000 : FNB","74987504086000512892027","Account Payment","690.00 FACEBK NHRE7 4910505191 26 MAR 74987504086000512892027","690",,"342270.39"
,"28/03/2024","8400/000 : FNB","74143614087000058223998","Account Payment","47.61 FACEBK 2NAAL 4910505191 26 MAR 74143614087000058223998","47.61",,"342318"
,"28/03/2024","STOCK2SHOP (PTY) LTD","WWI31306","Supplier Invoice","3300/020 : Computer - Platforms","3134.4",,"345452.4"
,"30/03/2024","8400/000 : FNB","24011344089000013168441","Account Payment","141.99 CANVA I0410 4910505225 29 MAR 24011344089000013168441","141.99",,"345594.39"
,"30/03/2024","8400/000 : FNB","74838424087109098117799","Account Payment","34.99 GOOGLE Googl 4910505191 27 MAR 74838424087109098117799","34.99",,"345629.38"
,"30/03/2024","8400/000 : FNB","74143614088000113662452","Account Payment","3041.60 SHOPIFY 22 4910505225 27 MAR 74143614088000113662452","58969.37",,"404598.75"
,"30/03/2024","8400/000 : FNB","74838424088109673658166","Account Payment","546.25 INTUIT QBoo 4910505225 28 MAR 74838424088109673658166","546.25",,"405145"
,"30/03/2024","8400/000 : FNB","74838424088109673658141","Account Payment","546.25 INTUIT QBoo 4910505225 28 MAR 74838424088109673658141","546.25",,"405691.25"
,"02/04/2024","8400/000 : FNB","74143614092000942780206","Account Payment","345.00 FACEBK 6J9R 4910505191 31 MAR 74143614092000942780206","345",,"406036.25"
,"02/04/2024","8400/000 : FNB","24011344089000035142457","Account Payment","5050.80 FRESHWORKS 4910505225 29 MAR 24011344089000035142457","5050.8",,"411087.05"
,"02/04/2024","8400/000 : FNB","24492164089000019417743","Account Payment","20.00 YOU.COM 4910505191 29 MAR 24492164089000019417743","389.93",,"411476.98"
,"02/04/2024","8400/000 : FNB","74987504091000706730051","Account Payment","438.86 FACEBK 7E8BK 4910505191 31 MAR 74987504091000706730051","438.86",,"411915.84"
,"02/04/2024","8400/000 : FNB","74007484090249745537595","Account Payment","499.00 CBACCleaner 4910505191 29 MAR 74007484090249745537595","499",,"412414.84"
,"02/04/2024","8400/000 : FNB","74838424091102073159880","Account Payment","546.25 INTUIT QBoo 4910505225 31 MAR 74838424091102073159880","546.25",,"412961.09"
,"02/04/2024","8400/000 : FNB","24492154089719641117170","Account Payment","29.99 BEENVERIFIED 4910505191 29 MAR 24492154089719641117170","580.15",,"413541.24"
,"02/04/2024","8400/000 : FNB","74389244091000000021857","Account Payment","49.91 FRAPPE CLOUD 4910505191 31 MAR 74389244091000000021857","965.48",,"414506.72"
,"02/04/2024","8400/000 : FNB","74208474090000015683546","Account Payment","119.94 CLINICSOFTWA 4910505225 30 MAR 74208474090000015683546","2934.19",,"417440.91"
,"02/04/2024","8400/000 : FNB","24492154089745582647982","Account Payment","182.85 WIX.COM 4910505191 29 MAR 24492154089745582647982","3537.14",,"420978.05"
,"03/04/2024","8400/000 : FNB","74697694093920045396231","Account Payment","391.60 GOOGLEGSUIT 4910505225 01 APR 74697694093920045396231","8184.3",,"429162.35"
,"03/04/2024","8400/000 : FNB","74609054092000007097989","Account Payment","17.25 SLACK T06A3T4 4910505191 01 APR 74609054092000007097989","333.69",,"429496.04"
,"03/04/2024","8400/000 : FNB","74987504092001376460051","Account Payment","12.00 GSUITE_rzoneu 4910505191 01 APR 74987504092001376460051","293.57",,"429789.61"
,"03/04/2024","8400/000 : FNB","74796314092000400758071","Account Payment","9.20 FACEBK FACEBK 4910505191 01 APR 74796314092000400758071","177.97",,"429967.58"
,"03/04/2024","8400/000 : FNB","24049454092000002330026","Account Payment","6.00 GLASSFROG 4910505191 01 APR 24049454092000002330026","116.07",,"430083.65"
,"03/04/2024","8400/000 : FNB","74697694093920041549783","Account Payment","1.45 GOOGLECLOUD J 4910505191 01 APR 74697694093920041549783","28.05",,"430111.7"
,"03/04/2024","8400/000 : FNB","24011344093000018881786","Account Payment","134.00 SINCH MAILGU 4910505191 02 APR 24011344093000018881786","2601.58",,"432713.28"
,"03/04/2024","8400/000 : FNB","74697694093920045511888","Account Payment","83.96 GOOGLEGSUITE 4910505225 01 APR 74697694093920045511888","1754.74",,"434468.02"
,"03/04/2024","8400/000 : FNB","74796314092000300753032","Account Payment","46.00 FACEBK FACEB 4910505191 01 APR 74796314092000300753032","889.85",,"435357.87"
,"03/04/2024","8400/000 : FNB","74697694093920041440488","Account Payment","39.82 GOOGLEGSUITE 4910505191 01 APR 74697694093920041440488","832.23",,"436190.1"
,"03/04/2024","8400/000 : FNB","74796314092000077633045","Account Payment","29.81 GSUITE_zone.m 4910505191 01 APR 74796314092000077633045","576.66",,"436766.76"
,"03/04/2024","8400/000 : FNB","24492164092000046592331","Account Payment","29.00 VIRTONOMICS S 4910505191 01 APR 24492164092000046592331","560.99",,"437327.75"
,"03/04/2024","8400/000 : FNB","24011344092000062884877","Account Payment","29.00 ECM A LEGALZ 4910505191 01 APR 24011344092000062884877","560.99",,"437888.74"
,"03/04/2024","8400/000 : FNB","74796314092000800848050","Account Payment","27.60 FACEBK FACEB 4910505191 01 APR 74796314092000800848050","533.91",,"438422.65"
,"04/04/2024","8400/000 : FNB","74201334093000007019295","Account Payment","450.00 WAPPALYZER 4910505191 02 APR 74201334093000007019295","8736.65",,"447159.3"
,"04/04/2024","8400/000 : FNB","24906414093197117460717","Account Payment","3883.91 DNHGODADDY 4910505191 02 APR 24906414093197117460717","3883.91",,"451043.21"
,"05/04/2024","8400/000 : FNB","74922134094037630010631","Account Payment","BOB GROUP 4910505191 01 APR 74922134094037630010631","2298.85",,"453342.06"
,"05/04/2024","8400/000 : FNB","74609054095000002252289","Account Payment","99.00 DMNS.APP BUSI 4910505191 04 APR 74609054095000002252289","1905.13",,"455247.19"
,"05/04/2024","8400/000 : FNB","74083424095000001489379","Account Payment","60.00 INSOMNIA TEAM 4910505191 03 APR 74083424095000001489379","1154.62",,"456401.81"
,"05/04/2024","8400/000 : FNB","24000774095000005601550","Account Payment","4.95 SHELLS.COM 4910505191 04 APR 24000774095000005601550","95.26",,"456497.07"
,"05/04/2024","8400/000 : FNB","24011344095000024326287","Account Payment","4.87 TRIPLE WHALE 4910505191 04 APR 24011344095000024326287","93.72",,"456590.79"
,"05/04/2024","8400/000 : FNB","24492164095000012290883","Account Payment","1499.00 APPDIRECT 4910505225 04 APR 24492164095000012290883","28846.33",,"485437.12"
,"05/04/2024","8400/000 : FNB","24011344095000023001774","Account Payment","249.00 STABLE 4910505191 04 APR 24011344095000023001774","4791.68",,"490228.8"
,"05/04/2024","8400/000 : FNB","24011344094000063579789","Account Payment","143.20 MOZSEOHELP@ 4910505191 03 APR 24011344094000063579789","2779.84",,"493008.64"
,"05/04/2024","8400/000 : FNB","74922134094037630011217","Account Payment","BOB GROUP 4910505191 01 APR 74922134094037630011217","2298.85",,"495307.49"
,"06/04/2024","8400/000 : FNB","24000774095000014064741","Account Payment","7.40 GITHUB INC. 4910505225 04 APR 24000774095000014064741","142.4",,"495449.89"
,"06/04/2024","8400/000 : FNB","24000774095000013877093","Account Payment","19.00 GITHUB INC. 4910505225 04 APR 24000774095000013877093","365.63",,"495815.52"
